"Regió sanitària","Àrea bàsica de salut","Àmbit","Indicador","Mesura","Període","ABS homes","ABS dones","ABS total","Catalunya homes","Catalunya dones","Catalunya total"
"Lleida","Agramunt","Recursos i ús de serveis","Població assignada i atesa total","Persones","2022",2958,2995,5953,3000604,3374254,6374858
"Lleida","Agramunt","Recursos i ús de serveis","Mitjana de visites en el centre de la població assignada i atesa","Visites","2022",3.9,4.5,4.2,3.5,4.2,3.9
"Lleida","Agramunt","Recursos i ús de serveis","Mitjana de visites domiciliàries de la població assignada i atesa","Visites","2022",0.3,0.4,0.4,0.2,0.3,0.2
"Lleida","Agramunt","Recursos i ús de serveis","Mitjana de visites telefòniques de la població assignada i atesa","Visites","2022",1.5,2,1.7,1.1,1.5,1.3
"Lleida","Agramunt","Recursos i ús de serveis","Mitjana de visites TIC de la població assignada i atesa","Visites","2022",1.5,2,1.7,1.5,2,1.7
"Lleida","Agramunt","Recursos i ús de serveis","Mitjana de visites totals de la població assignada i atesa","Visites","2022",7.1,8.9,8,6.2,7.9,7.1
"Lleida","Alcarràs","Demogràfic","Població assignada de 0-14 anys","Persones","2022",1215,1112,2327,563490,531360,1094850
"Lleida","Alcarràs","Demogràfic","Població assignada de 15-54 anys","Persones","2022",4426,3745,8171,2090135,2009939,4100074
"Lleida","Alcarràs","Demogràfic","Població assignada de 55-64 anys","Persones","2022",943,735,1678,485653,501618,987271
"Lleida","Alcarràs","Demogràfic","Població assignada de 65 anys o més","Persones","2022",946,1189,2135,631736,839322,1471058
"Lleida","Alcarràs","Demogràfic","Població assignada total","Persones","2022",7530,6781,14311,3771014,3882239,7653253
"Lleida","Alcarràs","Demogràfic","Índex de sobreenvelliment","Ràtio","2022",16.3,26.5,22,13.3,20.1,17.2
"Lleida","Alcarràs","Recursos i ús de serveis","Població assignada i atesa de 0-14 anys","Persones","2022",1134,1062,2196,490319,461101,951420
"Lleida","Alcarràs","Recursos i ús de serveis","Població assignada i atesa de 15-54 anys","Persones","2022",3079,3109,6188,1491869,1646703,3138572
"Lleida","Alcarràs","Recursos i ús de serveis","Població assignada i atesa de 55-64 anys","Persones","2022",782,679,1461,406344,447653,853997
"Lleida","Alcarràs","Recursos i ús de serveis","Població assignada i atesa de 65 anys o més","Persones","2022",937,1182,2119,612072,818797,1430869
"Lleida","Alcarràs","Recursos i ús de serveis","Població assignada i atesa total","Persones","2022",5932,6032,11964,3000604,3374254,6374858
"Lleida","Alcarràs","Recursos i ús de serveis","Mitjana de visites en el centre de la població assignada i atesa","Visites","2022",3.6,4.6,4.1,3.5,4.2,3.9
"Lleida","Alcarràs","Recursos i ús de serveis","Mitjana de visites domiciliàries de la població assignada i atesa","Visites","2022",0.1,0.2,0.2,0.2,0.3,0.2
"Lleida","Alcarràs","Recursos i ús de serveis","Mitjana de visites telefòniques de la població assignada i atesa","Visites","2022",0.7,1,0.8,1.1,1.5,1.3
"Lleida","Alcarràs","Recursos i ús de serveis","Mitjana de visites TIC de la població assignada i atesa","Visites","2022",1.5,2.2,1.9,1.5,2,1.7
"Lleida","Alcarràs","Recursos i ús de serveis","Mitjana de visites totals de la població assignada i atesa","Visites","2022",6,8,6.9,6.2,7.9,7.1
"Lleida","Alfarràs - Almenar","Demogràfic","Població assignada de 0-14 anys","Persones","2022",620,581,1201,563490,531360,1094850
"Lleida","Alfarràs - Almenar","Demogràfic","Població assignada de 15-54 anys","Persones","2022",2728,2017,4745,2090135,2009939,4100074
"Lleida","Alfarràs - Almenar","Demogràfic","Població assignada de 55-64 anys","Persones","2022",703,606,1309,485653,501618,987271
"Lleida","Alfarràs - Almenar","Demogràfic","Població assignada de 65 anys o més","Persones","2022",1024,1233,2257,631736,839322,1471058
"Lleida","Alfarràs - Almenar","Demogràfic","Població assignada total","Persones","2022",5075,4437,9512,3771014,3882239,7653253
"Lleida","Alfarràs - Almenar","Demogràfic","Índex de sobreenvelliment","Ràtio","2022",17.9,23.6,21,13.3,20.1,17.2
"Lleida","Alfarràs - Almenar","Recursos i ús de serveis","Població assignada i atesa de 0-14 anys","Persones","2022",590,548,1138,490319,461101,951420
"Lleida","Alfarràs - Almenar","Recursos i ús de serveis","Població assignada i atesa de 15-54 anys","Persones","2022",2190,1856,4046,1491869,1646703,3138572
"Lleida","Alfarràs - Almenar","Recursos i ús de serveis","Població assignada i atesa de 55-64 anys","Persones","2022",619,584,1203,406344,447653,853997
"Lleida","Alfarràs - Almenar","Recursos i ús de serveis","Població assignada i atesa de 65 anys o més","Persones","2022",1011,1216,2227,612072,818797,1430869
"Lleida","Alfarràs - Almenar","Recursos i ús de serveis","Població assignada i atesa total","Persones","2022",4410,4204,8614,3000604,3374254,6374858
"Lleida","Alfarràs - Almenar","Recursos i ús de serveis","Mitjana de visites en el centre de la població assignada i atesa","Visites","2022",4.4,5.3,4.8,3.5,4.2,3.9
"Lleida","Alfarràs - Almenar","Recursos i ús de serveis","Mitjana de visites domiciliàries de la població assignada i atesa","Visites","2022",0.5,1,0.7,0.2,0.3,0.2
"Lleida","Alfarràs - Almenar","Recursos i ús de serveis","Mitjana de visites telefòniques de la població assignada i atesa","Visites","2022",2.2,3.3,2.7,1.1,1.5,1.3
"Lleida","Alfarràs - Almenar","Recursos i ús de serveis","Mitjana de visites TIC de la població assignada i atesa","Visites","2022",2.1,3,2.5,1.5,2,1.7
"Lleida","Alfarràs - Almenar","Recursos i ús de serveis","Mitjana de visites totals de la població assignada i atesa","Visites","2022",9.3,12.6,10.8,6.2,7.9,7.1
"Lleida","Almacelles","Demogràfic","Població assignada de 0-14 anys","Persones","2022",631,594,1225,563490,531360,1094850
"Lleida","Almacelles","Demogràfic","Població assignada de 15-54 anys","Persones","2022",2550,2024,4574,2090135,2009939,4100074
"Lleida","Almacelles","Demogràfic","Població assignada de 55-64 anys","Persones","2022",670,538,1208,485653,501618,987271
"Lleida","Almacelles","Demogràfic","Població assignada de 65 anys o més","Persones","2022",848,1029,1877,631736,839322,1471058
"Lleida","Almacelles","Demogràfic","Població assignada total","Persones","2022",4699,4185,8884,3771014,3882239,7653253
"Lleida","Almacelles","Demogràfic","Índex de sobreenvelliment","Ràtio","2022",15.6,26,21.3,13.3,20.1,17.2
"Lleida","Almacelles","Recursos i ús de serveis","Població assignada i atesa de 0-14 anys","Persones","2022",591,552,1143,490319,461101,951420
"Lleida","Almacelles","Recursos i ús de serveis","Població assignada i atesa de 15-54 anys","Persones","2022",2031,1829,3860,1491869,1646703,3138572
"Lleida","Almacelles","Recursos i ús de serveis","Població assignada i atesa de 55-64 anys","Persones","2022",626,481,1107,406344,447653,853997
"Lleida","Almacelles","Recursos i ús de serveis","Població assignada i atesa de 65 anys o més","Persones","2022",841,1011,1852,612072,818797,1430869
"Lleida","Almacelles","Recursos i ús de serveis","Població assignada i atesa total","Persones","2022",4089,3873,7962,3000604,3374254,6374858
"Lleida","Almacelles","Recursos i ús de serveis","Mitjana de visites en el centre de la població assignada i atesa","Visites","2022",4.2,5.1,4.6,3.5,4.2,3.9
"Lleida","Almacelles","Recursos i ús de serveis","Mitjana de visites domiciliàries de la població assignada i atesa","Visites","2022",0.3,0.4,0.4,0.2,0.3,0.2
"Lleida","Almacelles","Recursos i ús de serveis","Mitjana de visites telefòniques de la població assignada i atesa","Visites","2022",1.5,2.1,1.7,1.1,1.5,1.3
"Lleida","Almacelles","Recursos i ús de serveis","Mitjana de visites TIC de la població assignada i atesa","Visites","2022",1.6,2.5,2,1.5,2,1.7
"Lleida","Almacelles","Recursos i ús de serveis","Mitjana de visites totals de la població assignada i atesa","Visites","2022",7.5,10.1,8.7,6.2,7.9,7.1
"Catalunya Central","Alt Berguedà","Demogràfic","Població assignada de 0-14 anys","Persones","2022",297,331,628,563490,531360,1094850
"Catalunya Central","Alt Berguedà","Demogràfic","Població assignada de 15-54 anys","Persones","2022",1072,906,1978,2090135,2009939,4100074
"Catalunya Central","Alt Berguedà","Demogràfic","Població assignada de 55-64 anys","Persones","2022",433,420,853,485653,501618,987271
"Catalunya Central","Alt Berguedà","Demogràfic","Població assignada de 65 anys o més","Persones","2022",638,781,1419,631736,839322,1471058
"Catalunya Central","Alt Berguedà","Demogràfic","Població assignada total","Persones","2022",2440,2438,4878,3771014,3882239,7653253
"Catalunya Central","Alt Berguedà","Demogràfic","Índex de sobreenvelliment","Ràtio","2022",15.7,28.4,22.7,13.3,20.1,17.2
"Catalunya Central","Alt Berguedà","Recursos i ús de serveis","Població assignada i atesa de 0-14 anys","Persones","2022",277,317,594,490319,461101,951420
"Catalunya Central","Alt Berguedà","Recursos i ús de serveis","Població assignada i atesa de 15-54 anys","Persones","2022",879,820,1699,1491869,1646703,3138572
"Catalunya Central","Alt Berguedà","Recursos i ús de serveis","Població assignada i atesa de 55-64 anys","Persones","2022",359,375,734,406344,447653,853997
"Catalunya Central","Alt Berguedà","Recursos i ús de serveis","Població assignada i atesa de 65 anys o més","Persones","2022",635,793,1428,612072,818797,1430869
"Catalunya Central","Alt Berguedà","Recursos i ús de serveis","Població assignada i atesa total","Persones","2022",2150,2305,4455,3000604,3374254,6374858
"Catalunya Central","Alt Berguedà","Recursos i ús de serveis","Mitjana de visites en el centre de la població assignada i atesa","Visites","2022",5,5.7,5.3,3.5,4.2,3.9
"Catalunya Central","Alt Berguedà","Recursos i ús de serveis","Mitjana de visites domiciliàries de la població assignada i atesa","Visites","2022",0.3,0.5,0.4,0.2,0.3,0.2
"Catalunya Central","Alt Berguedà","Recursos i ús de serveis","Mitjana de visites telefòniques de la població assignada i atesa","Visites","2022",1.3,1.9,1.6,1.1,1.5,1.3
"Catalunya Central","Alt Berguedà","Recursos i ús de serveis","Mitjana de visites TIC de la població assignada i atesa","Visites","2022",2.7,3.5,3.1,1.5,2,1.7
"Catalunya Central","Alt Berguedà","Recursos i ús de serveis","Mitjana de visites totals de la població assignada i atesa","Visites","2022",9.3,11.5,10.4,6.2,7.9,7.1
"Camp de Tarragona","Alt Camp Est","Demogràfic","Població assignada de 0-14 anys","Persones","2022",833,761,1594,563490,531360,1094850
"Camp de Tarragona","Alt Camp Est","Demogràfic","Població assignada de 15-54 anys","Persones","2022",3057,2614,5671,2090135,2009939,4100074
"Camp de Tarragona","Alt Camp Est","Demogràfic","Població assignada de 55-64 anys","Persones","2022",823,742,1565,485653,501618,987271
"Camp de Tarragona","Alt Camp Est","Demogràfic","Població assignada de 65 anys o més","Persones","2022",1166,1280,2446,631736,839322,1471058
"Camp de Tarragona","Alt Camp Est","Demogràfic","Població assignada total","Persones","2022",5879,5397,11276,3771014,3882239,7653253
"Camp de Tarragona","Alt Camp Est","Demogràfic","Índex de sobreenvelliment","Ràtio","2022",12.2,20.5,16.5,13.3,20.1,17.2
"Camp de Tarragona","Alt Camp Est","Recursos i ús de serveis","Població assignada i atesa de 0-14 anys","Persones","2022",798,707,1505,490319,461101,951420
"Camp de Tarragona","Alt Camp Est","Recursos i ús de serveis","Població assignada i atesa de 15-54 anys","Persones","2022",2541,2367,4908,1491869,1646703,3138572
"Camp de Tarragona","Alt Camp Est","Recursos i ús de serveis","Població assignada i atesa de 55-64 anys","Persones","2022",733,710,1443,406344,447653,853997
"Camp de Tarragona","Alt Camp Est","Recursos i ús de serveis","Població assignada i atesa de 65 anys o més","Persones","2022",1166,1274,2440,612072,818797,1430869
"Camp de Tarragona","Alt Camp Est","Recursos i ús de serveis","Població assignada i atesa total","Persones","2022",5238,5058,10296,3000604,3374254,6374858
"Camp de Tarragona","Alt Camp Est","Recursos i ús de serveis","Mitjana de visites en el centre de la població assignada i atesa","Visites","2022",5.2,5.9,5.5,3.5,4.2,3.9
"Camp de Tarragona","Alt Camp Est","Recursos i ús de serveis","Mitjana de visites domiciliàries de la població assignada i atesa","Visites","2022",0.2,0.4,0.3,0.2,0.3,0.2
"Camp de Tarragona","Alt Camp Est","Recursos i ús de serveis","Mitjana de visites telefòniques de la població assignada i atesa","Visites","2022",1.8,2.6,2.2,1.1,1.5,1.3
"Camp de Tarragona","Alt Camp Est","Recursos i ús de serveis","Mitjana de visites TIC de la població assignada i atesa","Visites","2022",1.8,2.4,2.1,1.5,2,1.7
"Camp de Tarragona","Alt Camp Est","Recursos i ús de serveis","Mitjana de visites totals de la població assignada i atesa","Visites","2022",8.9,11.3,10.1,6.2,7.9,7.1
"Camp de Tarragona","Alt Camp Oest","Demogràfic","Població assignada de 0-14 anys","Persones","2022",478,509,987,563490,531360,1094850
"Camp de Tarragona","Alt Camp Oest","Demogràfic","Població assignada de 15-54 anys","Persones","2022",1746,1592,3338,2090135,2009939,4100074
"Camp de Tarragona","Alt Camp Oest","Demogràfic","Població assignada de 55-64 anys","Persones","2022",463,424,887,485653,501618,987271
"Camp de Tarragona","Alt Camp Oest","Demogràfic","Població assignada de 65 anys o més","Persones","2022",558,643,1201,631736,839322,1471058
"Camp de Tarragona","Alt Camp Oest","Demogràfic","Població assignada total","Persones","2022",3245,3168,6413,3771014,3882239,7653253
"Camp de Tarragona","Alt Camp Oest","Demogràfic","Índex de sobreenvelliment","Ràtio","2022",11.8,18.7,15.5,13.3,20.1,17.2
"Camp de Tarragona","Alt Camp Oest","Recursos i ús de serveis","Població assignada i atesa de 0-14 anys","Persones","2022",458,462,920,490319,461101,951420
"Camp de Tarragona","Alt Camp Oest","Recursos i ús de serveis","Població assignada i atesa de 15-54 anys","Persones","2022",1491,1461,2952,1491869,1646703,3138572
"Camp de Tarragona","Alt Camp Oest","Recursos i ús de serveis","Població assignada i atesa de 55-64 anys","Persones","2022",430,417,847,406344,447653,853997
"Camp de Tarragona","Alt Camp Oest","Recursos i ús de serveis","Població assignada i atesa de 65 anys o més","Persones","2022",542,623,1165,612072,818797,1430869
"Camp de Tarragona","Alt Camp Oest","Recursos i ús de serveis","Població assignada i atesa total","Persones","2022",2921,2963,5884,3000604,3374254,6374858
"Camp de Tarragona","Alt Camp Oest","Recursos i ús de serveis","Mitjana de visites en el centre de la població assignada i atesa","Visites","2022",5,5.6,5.3,3.5,4.2,3.9
"Camp de Tarragona","Alt Camp Oest","Recursos i ús de serveis","Mitjana de visites domiciliàries de la població assignada i atesa","Visites","2022",0.4,0.7,0.5,0.2,0.3,0.2
"Camp de Tarragona","Alt Camp Oest","Recursos i ús de serveis","Mitjana de visites telefòniques de la població assignada i atesa","Visites","2022",2.7,3.8,3.3,1.1,1.5,1.3
"Camp de Tarragona","Alt Camp Oest","Recursos i ús de serveis","Mitjana de visites TIC de la població assignada i atesa","Visites","2022",3.6,4.7,4.1,1.5,2,1.7
"Camp de Tarragona","Alt Camp Oest","Recursos i ús de serveis","Mitjana de visites totals de la població assignada i atesa","Visites","2022",11.6,14.8,13.2,6.2,7.9,7.1
"Barcelona - Metropolitana Nord","Alt Mogent","Demogràfic","Població assignada de 0-14 anys","Persones","2022",1534,1456,2990,563490,531360,1094850
"Barcelona - Metropolitana Nord","Alt Mogent","Demogràfic","Població assignada de 15-54 anys","Persones","2022",5511,5360,10871,2090135,2009939,4100074
"Barcelona - Metropolitana Nord","Alt Mogent","Demogràfic","Població assignada de 55-64 anys","Persones","2022",1420,1344,2764,485653,501618,987271
"Barcelona - Metropolitana Nord","Alt Mogent","Demogràfic","Població assignada de 65 anys o més","Persones","2022",1533,1986,3519,631736,839322,1471058
"Barcelona - Metropolitana Nord","Alt Mogent","Demogràfic","Població assignada total","Persones","2022",9998,10146,20144,3771014,3882239,7653253
"Barcelona - Metropolitana Nord","Alt Mogent","Demogràfic","Índex de sobreenvelliment","Ràtio","2022",13.5,23,18.9,13.3,20.1,17.2
"Barcelona - Metropolitana Nord","Alt Mogent","Recursos i ús de serveis","Població assignada i atesa de 0-14 anys","Persones","2022",1413,1342,2755,490319,461101,951420
"Barcelona - Metropolitana Nord","Alt Mogent","Recursos i ús de serveis","Població assignada i atesa de 15-54 anys","Persones","2022",4225,4673,8898,1491869,1646703,3138572
"Barcelona - Metropolitana Nord","Alt Mogent","Recursos i ús de serveis","Població assignada i atesa de 55-64 anys","Persones","2022",1265,1267,2532,406344,447653,853997
"Barcelona - Metropolitana Nord","Alt Mogent","Recursos i ús de serveis","Població assignada i atesa de 65 anys o més","Persones","2022",1563,2019,3582,612072,818797,1430869
"Barcelona - Metropolitana Nord","Alt Mogent","Recursos i ús de serveis","Població assignada i atesa total","Persones","2022",8466,9301,17767,3000604,3374254,6374858
"Barcelona - Metropolitana Nord","Alt Mogent","Recursos i ús de serveis","Mitjana de visites en el centre de la població assignada i atesa","Visites","2022",3.4,4,3.7,3.5,4.2,3.9
"Barcelona - Metropolitana Nord","Alt Mogent","Recursos i ús de serveis","Mitjana de visites domiciliàries de la població assignada i atesa","Visites","2022",0.2,0.4,0.3,0.2,0.3,0.2
"Barcelona - Metropolitana Nord","Alt Mogent","Recursos i ús de serveis","Mitjana de visites telefòniques de la població assignada i atesa","Visites","2022",1.2,1.6,1.4,1.1,1.5,1.3
"Barcelona - Metropolitana Nord","Alt Mogent","Recursos i ús de serveis","Mitjana de visites TIC de la població assignada i atesa","Visites","2022",1.8,2.5,2.2,1.5,2,1.7
"Barcelona - Metropolitana Nord","Alt Mogent","Recursos i ús de serveis","Mitjana de visites totals de la població assignada i atesa","Visites","2022",6.6,8.4,7.5,6.2,7.9,7.1
"Alt Pirineu i Aran","Alt Urgell Sud","Demogràfic","Població assignada de 0-14 anys","Persones","2022",216,209,425,563490,531360,1094850
"Alt Pirineu i Aran","Alt Urgell Sud","Demogràfic","Població assignada de 15-54 anys","Persones","2022",885,759,1644,2090135,2009939,4100074
"Alt Pirineu i Aran","Alt Urgell Sud","Demogràfic","Població assignada de 55-64 anys","Persones","2022",277,298,575,485653,501618,987271
"Alt Pirineu i Aran","Alt Urgell Sud","Demogràfic","Població assignada de 65 anys o més","Persones","2022",508,592,1100,631736,839322,1471058
"Alt Pirineu i Aran","Alt Urgell Sud","Demogràfic","Població assignada total","Persones","2022",1886,1858,3744,3771014,3882239,7653253
"Alt Pirineu i Aran","Alt Urgell Sud","Demogràfic","Índex de sobreenvelliment","Ràtio","2022",13.8,24.5,19.5,13.3,20.1,17.2
"Alt Pirineu i Aran","Alt Urgell Sud","Recursos i ús de serveis","Població assignada i atesa de 0-14 anys","Persones","2022",217,204,421,490319,461101,951420
"Alt Pirineu i Aran","Alt Urgell Sud","Recursos i ús de serveis","Població assignada i atesa de 15-54 anys","Persones","2022",742,686,1428,1491869,1646703,3138572
"Alt Pirineu i Aran","Alt Urgell Sud","Recursos i ús de serveis","Població assignada i atesa de 55-64 anys","Persones","2022",240,289,529,406344,447653,853997
"Alt Pirineu i Aran","Alt Urgell Sud","Recursos i ús de serveis","Població assignada i atesa de 65 anys o més","Persones","2022",498,573,1071,612072,818797,1430869
"Alt Pirineu i Aran","Alt Urgell Sud","Recursos i ús de serveis","Població assignada i atesa total","Persones","2022",1697,1752,3449,3000604,3374254,6374858
"Alt Pirineu i Aran","Alt Urgell Sud","Recursos i ús de serveis","Mitjana de visites en el centre de la població assignada i atesa","Visites","2022",6.3,7.5,6.9,3.5,4.2,3.9
"Alt Pirineu i Aran","Alt Urgell Sud","Recursos i ús de serveis","Mitjana de visites domiciliàries de la població assignada i atesa","Visites","2022",0.4,0.8,0.6,0.2,0.3,0.2
"Alt Pirineu i Aran","Alt Urgell Sud","Recursos i ús de serveis","Mitjana de visites telefòniques de la població assignada i atesa","Visites","2022",1.5,2.2,1.8,1.1,1.5,1.3
"Alt Pirineu i Aran","Alt Urgell Sud","Recursos i ús de serveis","Mitjana de visites TIC de la població assignada i atesa","Visites","2022",1.8,2.2,2,1.5,2,1.7
"Alt Pirineu i Aran","Alt Urgell Sud","Recursos i ús de serveis","Mitjana de visites totals de la població assignada i atesa","Visites","2022",10,12.7,11.3,6.2,7.9,7.1
"Alt Pirineu i Aran","Alta Ribagorça","Demogràfic","Població assignada de 0-14 anys","Persones","2022",247,193,440,563490,531360,1094850
"Alt Pirineu i Aran","Alta Ribagorça","Demogràfic","Població assignada de 15-54 anys","Persones","2022",959,897,1856,2090135,2009939,4100074
"Alt Pirineu i Aran","Alta Ribagorça","Demogràfic","Població assignada de 55-64 anys","Persones","2022",265,247,512,485653,501618,987271
"Alt Pirineu i Aran","Alta Ribagorça","Demogràfic","Població assignada de 65 anys o més","Persones","2022",324,367,691,631736,839322,1471058
"Alt Pirineu i Aran","Alta Ribagorça","Demogràfic","Població assignada total","Persones","2022",1795,1704,3499,3771014,3882239,7653253
"Alt Pirineu i Aran","Alta Ribagorça","Demogràfic","Índex de sobreenvelliment","Ràtio","2022",25.9,25.6,25.8,13.3,20.1,17.2
"Alt Pirineu i Aran","Alta Ribagorça","Recursos i ús de serveis","Població assignada i atesa de 0-14 anys","Persones","2022",237,190,427,490319,461101,951420
"Alt Pirineu i Aran","Alta Ribagorça","Recursos i ús de serveis","Població assignada i atesa de 15-54 anys","Persones","2022",812,807,1619,1491869,1646703,3138572
"Alt Pirineu i Aran","Alta Ribagorça","Recursos i ús de serveis","Població assignada i atesa de 55-64 anys","Persones","2022",246,237,483,406344,447653,853997
"Alt Pirineu i Aran","Alta Ribagorça","Recursos i ús de serveis","Població assignada i atesa de 65 anys o més","Persones","2022",320,359,679,612072,818797,1430869
"Alt Pirineu i Aran","Alta Ribagorça","Recursos i ús de serveis","Població assignada i atesa total","Persones","2022",1615,1593,3208,3000604,3374254,6374858
"Alt Pirineu i Aran","Alta Ribagorça","Recursos i ús de serveis","Mitjana de visites en el centre de la població assignada i atesa","Visites","2022",7.1,8.2,7.7,3.5,4.2,3.9
"Alt Pirineu i Aran","Alta Ribagorça","Recursos i ús de serveis","Mitjana de visites domiciliàries de la població assignada i atesa","Visites","2022",0.5,0.8,0.6,0.2,0.3,0.2
"Alt Pirineu i Aran","Alta Ribagorça","Recursos i ús de serveis","Mitjana de visites telefòniques de la població assignada i atesa","Visites","2022",1.3,1.7,1.5,1.1,1.5,1.3
"Alt Pirineu i Aran","Alta Ribagorça","Recursos i ús de serveis","Mitjana de visites TIC de la població assignada i atesa","Visites","2022",1.4,1.7,1.6,1.5,2,1.7
"Alt Pirineu i Aran","Alta Ribagorça","Recursos i ús de serveis","Mitjana de visites totals de la població assignada i atesa","Visites","2022",10.3,12.4,11.4,6.2,7.9,7.1
"Terres de l'Ebre","Amposta","Demogràfic","Població assignada de 0-14 anys","Persones","2022",2174,1963,4137,563490,531360,1094850
"Terres de l'Ebre","Amposta","Demogràfic","Població assignada de 15-54 anys","Persones","2022",7710,6835,14545,2090135,2009939,4100074
"Terres de l'Ebre","Amposta","Demogràfic","Població assignada de 55-64 anys","Persones","2022",1818,1741,3559,485653,501618,987271
"Terres de l'Ebre","Amposta","Demogràfic","Població assignada de 65 anys o més","Persones","2022",2544,2993,5537,631736,839322,1471058
"Terres de l'Ebre","Amposta","Demogràfic","Població assignada total","Persones","2022",14246,13532,27778,3771014,3882239,7653253
"Terres de l'Ebre","Amposta","Demogràfic","Índex de sobreenvelliment","Ràtio","2022",15.1,21.4,18.5,13.3,20.1,17.2
"Terres de l'Ebre","Amposta","Recursos i ús de serveis","Població assignada i atesa de 0-14 anys","Persones","2022",1908,1745,3653,490319,461101,951420
"Terres de l'Ebre","Amposta","Recursos i ús de serveis","Població assignada i atesa de 15-54 anys","Persones","2022",5650,5763,11413,1491869,1646703,3138572
"Terres de l'Ebre","Amposta","Recursos i ús de serveis","Població assignada i atesa de 55-64 anys","Persones","2022",1506,1594,3100,406344,447653,853997
"Terres de l'Ebre","Amposta","Recursos i ús de serveis","Població assignada i atesa de 65 anys o més","Persones","2022",2477,2929,5406,612072,818797,1430869
"Terres de l'Ebre","Amposta","Recursos i ús de serveis","Població assignada i atesa total","Persones","2022",11541,12031,23572,3000604,3374254,6374858
"Terres de l'Ebre","Amposta","Recursos i ús de serveis","Mitjana de visites en el centre de la població assignada i atesa","Visites","2022",4.7,5.4,5,3.5,4.2,3.9
